,index,Industries (2.1 to 2.19)(2 ),Mining & Quarrying (incl. Coal)(2.1  ),Food Processing(2.2  ),Sugar(2.2.1  ),Edible Oils & Vanaspati(2.2.2  ),Tea(2.2.3  ),Others(2.2.4  ),Beverage & Tobacco(2.3  ),Textiles(2.4  ),Cotton Textiles(2.4.1  ),Jute Textiles(2.4.2  ),Man-Made Textiles(2.4.3  ),Other Textiles(2.4.4  ),Leather & Leather Products(2.5  ),Wood & Wood Products(2.6  ),Paper & Paper Products(2.7  ),"Petroleum, Coal Products & Nuclear Fuels(2.8  )",Chemicals & Chemical Products(2.9  ),Fertiliser(2.9.1  ),Drugs & Pharmaceuticals(2.9.2  ),Petro Chemicals(2.9.3  ),Others(2.9.4  ),Glass & Glassware(2.11  ),"Rubber, Plastic & their Products(2.10  )",Cement & Cement Products(2.12  ),Basic Metal & Metal Product(2.13  ),Iron & Steel(2.13.1  ),Other Metal & Metal Product(2.13.2  ),All Engineering(2.14  ),Electronics(2.14.1  ),Others(2.14.2  ),"Vehicles, Vehicle Parts & Transport Equipment(2.15  )",Gems & Jewellery(2.16  ),Construction(2.17  ),Infrastructure(2.18  ),Power(2.18.1  ),Telecommunications(2.18.2  ),Roads(2.18.3  ),Airports(2.18.4 ),Ports(2.18.5 ),Railways(2.18.6 ),Other Infrastructure(2.18.7),Other Industries(2.19  )
10,"December,  26 2014",,372090000000,1522570000000,337250000000,205640000000,32240000000,947440000000,186620000000,1987660000000,980020000000,24040000000,198900000000,784700000000,103970000000,96870000000,339880000000,539750000000,1494100000000,241840000000,481960000000,329370000000,440940000000,88270000000,379950000000,555370000000,3686870000000,2729950000000,956910000000,1481540000000,351870000000,1129650000000,680860000000,705330000000,738520000000,8956280000000,5373550000000,864640000000,1668460000000,,,,1049630000000,1770140000000
11,"March,  20 2015",26576290000000,359510000000,1714950000000,414110000000,210640000000,31950000000,1058240000000,186480000000,2019190000000,1000450000000,22360000000,203570000000,792810000000,102470000000,98310000000,340660000000,561450000000,1544870000000,253960000000,492950000000,330740000000,467220000000,88390000000,377730000000,560380000000,3853890000000,2834290000000,1019610000000,1540050000000,367900000000,1172150000000,682090000000,718190000000,743030000000,9245310000000,5575670000000,918900000000,1686910000000,,,,1063830000000,1839340000000
12,"June,  26 2015",,358140000000,1608770000000,395230000000,194510000000,30070000000,988960000000,182610000000,1981580000000,977740000000,22150000000,209840000000,771850000000,100750000000,97450000000,339140000000,491880000000,1516430000000,232820000000,499130000000,341790000000,442690000000,87860000000,362870000000,562970000000,3828890000000,2846090000000,982800000000,1528250000000,387410000000,1140840000000,686370000000,704690000000,723530000000,9339240000000,5730510000000,892470000000,1675250000000,,,,1041020000000,1800040000000
13,"September,  18 2015",,338590000000,1448340000000,352220000000,175890000000,30640000000,889590000000,175830000000,1953390000000,952870000000,21970000000,207280000000,771260000000,101120000000,100990000000,344500000000,415870000000,1550080000000,216290000000,516760000000,346820000000,470220000000,84680000000,370710000000,561190000000,3898950000000,2906800000000,992160000000,1548990000000,379580000000,1169410000000,684960000000,721800000000,730940000000,9472510000000,5803930000000,896830000000,1714510000000,,,,1057240000000,1789600000000
14,"December,  25 2015",,364830000000,1488740000000,349770000000,192960000000,36160000000,909850000000,180130000000,2023290000000,1010890000000,21510000000,209180000000,781720000000,102810000000,99560000000,356570000000,476950000000,1540370000000,222290000000,514730000000,342280000000,461070000000,87660000000,373780000000,548060000000,4007620000000,2984690000000,1022930000000,1561820000000,381410000000,1180400000000,668940000000,706030000000,741870000000,9705670000000,5915040000000,917650000000,1792960000000,,,,1080010000000,1917130000000
15,"March,  18 2016",27306790000000,390210000000,1500880000000,399570000000,199160000000,35970000000,866170000000,181460000000,2057960000000,1034780000000,21760000000,208150000000,793270000000,104980000000,94940000000,355050000000,512300000000,1645330000000,284810000000,534550000000,365310000000,460670000000,88900000000,373650000000,543250000000,4160160000000,3114580000000,1045590000000,1541670000000,382400000000,1159280000000,689890000000,727310000000,745380000000,9648110000000,5798750000000,912820000000,1775180000000,,,,1161360000000,1945360000000
16,"June,  24 2016",,338480000000,1459910000000,371570000000,193990000000,33440000000,860910000000,166130000000,1991820000000,977330000000,19600000000,199350000000,795540000000,105200000000,103360000000,340600000000,523400000000,1557750000000,250840000000,522200000000,336290000000,448420000000,84280000000,365640000000,547930000000,4195300000000,3139300000000,1056000000000,1528840000000,376590000000,1152250000000,685920000000,694870000000,755350000000,9140260000000,5287980000000,910120000000,1840470000000,,,,1101690000000,1884140000000
17,"September,  30 2016",,341790000000,1376730000000,316860000000,168310000000,39940000000,851610000000,171050000000,1945510000000,927140000000,21900000000,200090000000,796390000000,107190000000,103850000000,351540000000,499010000000,1540810000000,249960000000,498470000000,375400000000,416980000000,86980000000,377510000000,559180000000,4163230000000,3113300000000,1049930000000,1534270000000,355950000000,1178320000000,730780000000,696280000000,788290000000,9038680000000,5299670000000,769570000000,1836760000000,,,,1132670000000,2108860000000
18,"December,  23 2016",,341520000000,1288990000000,285100000000,166660000000,36170000000,801070000000,171120000000,1865770000000,897070000000,20100000000,195360000000,753250000000,100790000000,99410000000,339420000000,490310000000,1444470000000,242390000000,471010000000,324240000000,406830000000,79510000000,362890000000,531460000000,4126690000000,3117580000000,1009110000000,1470210000000,340750000000,1129460000000,715070000000,685680000000,790860000000,8962210000000,5277850000000,799480000000,1797990000000,,,,1086900000000,1924850000000
19,"March,  31 2017",26798310000000,345030000000,1455230000000,327000000000,183610000000,35400000000,909220000000,172580000000,1962950000000,963550000000,23130000000,203840000000,772430000000,107060000000,105160000000,326180000000,595430000000,1724260000000,334500000000,463510000000,507220000000,419030000000,79340000000,391710000000,542470000000,4209580000000,3191520000000,1018070000000,1496200000000,335950000000,1160260000000,735710000000,690360000000,822270000000,9063940000000,5253930000000,850660000000,1799720000000,,,,1159640000000,1972850000000
20,"June,  23 2017",,326690000000,1449870000000,296810000000,183360000000,39490000000,930220000000,165940000000,1927160000000,971030000000,22360000000,215780000000,717990000000,105880000000,101120000000,318550000000,525040000000,1536450000000,272400000000,426990000000,435640000000,401420000000,76150000000,388670000000,505870000000,4154220000000,3212960000000,941260000000,1463420000000,317900000000,1145520000000,706200000000,689390000000,848950000000,8914670000000,5202950000000,827090000000,1721000000000,,,,1163620000000,1980600000000
21,"September,  29 2017",,328690000000,1384600000000,280470000000,178790000000,41970000000,883370000000,163350000000,1954250000000,971460000000,26950000000,225430000000,730410000000,110700000000,105950000000,311530000000,471660000000,1574990000000,246470000000,477350000000,432080000000,419090000000,78300000000,406210000000,577520000000,4169410000000,3225450000000,943960000000,1507870000000,349100000000,1158770000000,711730000000,724450000000,833530000000,8949470000000,5262180000000,871260000000,1716560000000,,,,1099470000000,2039900000000
22,"December,  22 2017",,333570000000,1438850000000,269830000000,194060000000,47830000000,927130000000,169740000000,2007100000000,1001950000000,24600000000,235410000000,745140000000,109260000000,105900000000,309520000000,470870000000,1598030000000,243960000000,473550000000,442940000000,437580000000,82080000000,407900000000,530640000000,4132390000000,3222650000000,909740000000,1513690000000,349980000000,1163710000000,729530000000,690390000000,861590000000,8897920000000,5199990000000,854370000000,1703330000000,,,,1140240000000,1952480000000
23,"March,  30 2018",26992680000000,413140000000,1553620000000,289530000000,211170000000,44530000000,1008390000000,155760000000,2099020000000,1057490000000,22050000000,243150000000,776330000000,113130000000,108640000000,306270000000,651300000000,1629910000000,305860000000,483930000000,386980000000,453140000000,84530000000,423810000000,525880000000,4160170000000,3261810000000,898360000000,1553200000000,343700000000,1209500000000,787400000000,726650000000,900740000000,8909350000000,5196180000000,845600000000,1665400000000,,,,1202170000000,1890160000000
24,"June,  22 2018",,399230000000,1497600000000,276000000000,211850000000,48820000000,960930000000,139960000000,2033100000000,1008180000000,21640000000,238820000000,764460000000,110990000000,110860000000,304320000000,639710000000,1571220000000,271570000000,495370000000,348680000000,455600000000,89890000000,415400000000,519640000000,3925290000000,3004900000000,920390000000,1525650000000,336810000000,1188840000000,748410000000,680580000000,910940000000,8911850000000,5139780000000,883370000000,1623610000000,,,,1265090000000,1882380000000
25,"September,  28 2018",,426760000000,1415130000000,250950000000,208380000000,51920000000,903880000000,136610000000,1980410000000,972460000000,20300000000,240440000000,747210000000,113540000000,112760000000,294620000000,559010000000,1759720000000,330420000000,517470000000,393970000000,517860000000,102000000000,442100000000,517410000000,3841910000000,2930000000000,911910000000,1564890000000,358960000000,1205930000000,776480000000,697370000000,905830000000,9366840000000,5317600000000,919460000000,1744610000000,,,,1385170000000,2003100000000
26,"December,  21 2018",,416640000000,1478400000000,248750000000,213950000000,52940000000,962760000000,142140000000,1998880000000,999820000000,20950000000,241410000000,736700000000,107490000000,114780000000,299680000000,568120000000,1773770000000,272490000000,509540000000,462710000000,529030000000,101190000000,446580000000,550130000000,3798920000000,2921740000000,877180000000,1614800000000,373980000000,1240820000000,808160000000,679780000000,928380000000,9719240000000,5476180000000,906030000000,1869830000000,,,,1467200000000,1946670000000
27,"March,  29 2019",28375283300000,416814800000,1473129400000,294719900000,191730000000,36030000000,950649500000,146383100000,2009392800000,913595700000,19109100000,291034900000,785653100000,104895300000,130771200000,323932700000,753953700000,1719246200000,376301400000,507325800000,229667500000,605951500000,460188400000,79656200000,569864300000,3717547900000,2876482200000,841065700000,1728382200000,398885700000,1329496500000,838082900000,726996800000,1119373200000,10441991600000,5698572800000,1105450800000,1762537200000,44236800000,94788400000,97038700000,1639366900000,1614680600000
28,"June,  21 2019",27802291200000,405027700000,1409360600000,295193100000,175766400000,36680500000,901720600000,142311900000,1901293900000,856327700000,18804000000,287880800000,738281400000,105117600000,125251500000,311968100000,696121700000,1620876900000,336771700000,484637100000,218232800000,581235300000,460595500000,79224400000,573111100000,3471512100000,2667216700000,804295400000,1673038700000,394585700000,1278453000000,844886500000,681367500000,1082180100000,10352594500000,5680481400000,1044583400000,1738381400000,30995300000,89035100000,94614400000,1674503500000,1866450900000
29,"September,  27 2019",27309431800000,408565400000,1318317500000,274712500000,152918400000,38722500000,851964100000,149480600000,1837597000000,785735700000,19553900000,294574200000,737733200000,102546900000,129814500000,311807600000,633246900000,1710193000000,366812100000,479253400000,250017200000,614110300000,470999400000,71223700000,624491400000,3430978800000,2632486600000,798492200000,1674383200000,368586900000,1305796300000,848381900000,679381500000,1125429300000,10066756000000,5622382800000,1119914900000,1734194800000,38547800000,102257500000,96734700000,1352723500000,1715837200000
30,"December,  20 2019",28484161100000,444589700000,1331519800000,250098600000,170414900000,48924700000,862081600000,165617600000,1867525200000,779539400000,20076400000,300290200000,767619200000,98198600000,131043500000,318731200000,658735200000,1723107900000,346986000000,518813500000,237849900000,619458500000,501605900000,69873400000,614803500000,3336266100000,2542662300000,793603800000,1659397000000,358638000000,1300759000000,909042700000,671672400000,1263570700000,10629041000000,5780107500000,1361139200000,1795395100000,39533300000,132134500000,100923800000,1419807600000,2089819700000
0,"March,  27 2020",2946851.25,45406.79,144268.84,27563.45,16521.68,4929.18,95254.53,18025.49,193452.92,83046.06,1944.26,30064.6,78398,10460.56,13622.18,32592.86,79997.34,198941.33,47067.95,56342.18,26485.96,69045.24,52571.78,6817.07,61054.34,335099.21,251225.15,83874.06,162810.18,32448.62,130361.56,90007.12,66608.72,127837.59,1083656.43,577326.55,147176.4,181530.8,5143.87,12745.18,10884.73,148848.9,223620.5
1,"June,  19 2020",2911362.69,42253.49,149015.3,26488.3,15629.29,4634.19,102263.52,16533.28,190784.86,80692.47,1878.4,30589.88,77624.11,10257.54,14046.09,33999.87,81420.44,179394.38,35218.3,54985.99,25114.36,64075.73,50715.62,6309.22,59869.03,336862.87,255833.48,81029.39,152158.7,31110.79,121047.91,90775.17,61935.33,127892.76,1101626.86,586633.82,150688.11,182055.92,4802.74,14078.11,12174.22,151193.94,205511.88
2,"September,  25 2020",2831679.89,40193.13,139617.66,21317.08,16223.47,5123.63,96953.48,16399.04,189635.98,78753.22,2221.96,31763.91,76896.89,11197.32,14356.42,34717.55,71570.7,172244.48,37765.11,53846.75,19728.06,60904.56,52742.29,6887.97,61001.26,326234.67,239513.53,86721.14,147401.74,31291.45,116110.29,93135.13,64895.27,128783.5,1059541.12,564767.64,122346.36,198406.07,5453.63,11755.45,13278.85,143533.12,201124.66
3,"December,  18 2020",2822924.36,42295.59,157785.66,27166.33,17239.32,5278.93,108101.08,15952.44,193322.58,82096.91,2368.06,31735.12,77122.49,10575.15,14577.34,36319.42,67905.73,169896.44,38325.99,50960.06,18949.73,61660.66,52641.92,6988.17,59830.46,315744.55,228899.88,86844.67,147070.79,33790.75,113280.04,87284.46,73156.25,127239.73,1043335.55,564109.36,104087.63,202368.61,6478.51,10927.88,12370.93,142992.63,201002.13
4,"March,  26 2021",2934688.69181211,43498.190103068,156556.826726923,26490.400381386,17998.845629927,5059.66,107007.92071561,17804.60937186,204971.775734651,86367.728138969,2590.111839862,34487.934043911,81526.001711909,10737.497907492,15086.182507978,37855.076035712,79173.886123523,184952.926419865,32413.744398274,54077.228416167,28011.681836739,70450.271768685,56026.057740764,6582.735659092,57610.089783828,305457.198688681,218852.727967382,86604.470721299,153532.182942079,35486.513823216,118045.669118863,85892.300510477,74381.838937051,119670.341604303,1095467.25259787,571028.299087402,114960.8207792,226299.436161431,8573.41,10152.8,12471.11,151981.376569833,229431.722416893
5,"June,  18 2021",2963016.76742066,46552.849299626,157335.409075836,24002.679446786,17437.109093454,5389.78,110505.840535596,17381.309305967,213947.09566945,85462.026232491,2564.110335314,36064.338899507,89856.620202138,11194.593511387,16140.839672272,40359.4769138,82289.244044094,187793.22529694,33264.569955781,55336.822885655,24683.504708816,74508.327746688,62004.572620176,7139.06808953,55010.32491959,297835.424973901,204049.51398505,93785.910988851,156268.058916452,35778.001459765,120490.057456687,92001.712506336,73712.656314683,124144.353363519,1115392.35552607,574741.017201071,117646.35,238663.130723599,9724.12,10389.69,12610.97,151617.077601398,206514.197401032
6,"September,  24 2021",2953548.0226506,48985.88900631,151709.299468777,19156.628097758,16977.779758321,5710.56,109864.331612698,16837.415474312,210523.275346921,81459.682284254,2654.596816301,38067.77228604,88341.223960326,11169.460483659,16179.699315935,40784.241408644,87004.396915084,183684.473604342,29087.15052929,56797.705422346,22426.255511823,75373.362140883,66985.222506153,7113.247977913,50305.423943766,285037.123873164,191135.226545889,93901.897327275,158610.569788254,36755.863337101,121854.706451153,94253.3567878,77437.610110989,122209.534755937,1105033.90849921,578801.107736833,113414.806633294,248586.773063845,7593.54,11371.69,13004.32,132261.671065236,219683.873383428
7,"December,  31 2021",3106358.32285157,50962.555427491,170429.738847151,21427.814730145,18063.612900239,6077.71,124860.601216767,17655.446219888,224449.750184071,89198.419396019,3025.870783158,38398.320452342,93827.139552552,11628.813368355,16865.614948298,42569.921868951,108176.080185253,195487.037222196,31428.099829497,61091.652430882,21987.305087002,80979.979874815,72502.417896916,7082.608143352,49401.486448826,284529.664883226,184700.889803381,99828.775079845,166222.310509497,39692.816168379,126529.494341118,93988.743779078,75744.7101157,120142.261055498,1148724.80152775,600476.848579648,109350.417652294,255328.148632241,7624.29,9453.43,10193.89,156297.776663571,249794.36022007
8,"March,  25 2022",3235278.90731382,51129.797441254,176658.020190208,26370.365018301,18434.094943505,5818.1294989,126035.430729502,18674.633270446,231700.755865645,92195.639137667,3624.733189618,38859.60537612,97020.77816224,11988.311679537,17492.551725678,42770.130608583,108745.953208537,204740.488897603,33943.429782624,64755.32682,19775.094705526,86266.637589453,77184.772551928,7212.056057463,49338.157566152,296252.41314018,192591.501762217,103660.911377963,174787.945872497,39728.913900872,135059.031971625,97817.004681363,84467.079318942,122454.776842384,1205737.16451793,615806.430190019,130614.777590794,273197.384462465,6707.98,8897.95,10604.97,159907.672274654,256126.893877492
9,"June,  17 2022",3248920.98550457,50514.627224061,179398.103836903,24157.393643896,18559.856727117,6459.8287078,130221.02475809,17912.841906688,226293.30160552,88360.423732055,3698.198262528,38857.28845048,95377.391160457,11784.749265783,17923.669144891,43120.879204772,103913.621210159,215708.198382369,35525.642574925,66827.538663318,21043.681250423,92311.335893703,77487.667067077,7282.734941055,49957.779893377,300556.739206407,192733.106628158,107823.632578249,173731.836720465,40718.703894854,133013.132825611,99748.404007484,76833.698098319,123010.935846354,1222190.2506351,624747.780735177,132251.103168894,281206.062001852,6870.16,7964.87,11588.34,157561.934729172,251550.947307787
10,"September,  23 2022",3323913.8256985,52283.741183559,163402.843407046,19019.0839041,16087.328465058,6213.8487596,122082.582278288,18258.090709431,221754.347445888,83313.05137311,3846.138897554,39429.743733941,95165.413441283,11973.85634832,18747.402783101,43524.208849458,152040.47088871,224435.4992978,37874.569439494,68252.660027602,22012.063012447,96296.206818257,81016.249677628,7925.264518846,52246.296334482,315724.637419738,212121.820224269,103602.817195469,180117.326558241,41849.256574565,138268.069983676,99334.594263251,82378.58358161,124949.574619527,1225546.29755827,625072.517349212,131852.623019094,281744.927191286,8647.96,8574.85,11911.46,157741.959998677,248254.540253594
11,"December,  30 2022",3375008.73119686,55447.516653436,177931.868276237,17943.368335747,18962.372520392,5491.4567993,135534.670620798,20617.635983792,226287.168174293,86748.523686775,4029.354178963,40268.708120378,95240.582188177,12047.927077189,19802.677520884,44637.216012147,164286.813710761,226538.099228412,34867.040350706,70576.537001047,21254.23,99840.291876659,83442.221612453,8534.371872631,55305.314315494,339003.037402032,231162.241992079,107840.795409953,179501.334103519,41562.475185542,137938.858917977,103752.143441868,82366.745958677,121870.880107998,1218260.60751903,622013.637236347,115172.609307394,288178.665535024,9463.8,7853.31,11301.31,164277.275440262,235375.152226007
12,"March,  24 2023",3416353.44797786,60978.166719896,185709.063928303,22934.153388409,19849.908061799,5219.216406524,137705.786071571,23975.263776705,236373.625697288,93054.246094023,4043.989732763,40909.245625678,98366.144244824,12086.060699774,21370.244053581,45223.400695318,149962.394271574,225173.608124356,34680.340503032,71058.089663308,20843.56,98591.617958016,84521.972548022,9583.422102987,58243.781533584,352217.745321872,235398.914990352,116818.83033152,182500.135548627,43562.553640336,138937.581908291,103028.851508431,81201.450168612,127186.104702796,1212237.59333213,623918.124645177,111599.79,288216.090456509,9578.61,8197.39,11255.2,159472.388230445,244780.563244002
13,"June,  30 2023",3507598.9287045,55052.124831384,190175.081869892,22238.363236792,19813.064171744,5599.6462687,142524.008192656,23107.219920134,246352.890350044,95791.452241317,4120.834902443,42571.460687196,103869.142519088,12386.917632373,22220.396385735,45748.793670293,131071.433751234,229817.138909273,38468.239067106,73994.391072223,21377.128158129,95977.380611815,84997.421178885,9800.483903191,58089.556328191,364206.262006953,241894.78687125,122311.475135703,192139.262457972,45851.890790567,146287.371667405,108592.391641085,84134.03058121,134548.405989187,1244068.40010435,628642.517712986,127178.12,297566.527208687,7659.12,7508.67,12161.97,163351.475182673,271090.717193119
14,"September,  22 2023",3559935.40355297,54163.188063426,176417.60808521,16593.055036677,18119.173958541,5816.160181882,135889.21890811,26309.048570934,249565.953691091,97034.488845449,4154.385116253,43383.1399343,104993.939795089,12322.852850045,22986.272216677,45896.743106816,138258.565402755,230965.142719692,30772.198919798,76794.106603993,21845.901541112,101552.935654789,86653.644395359,10862.585167878,61353.835566365,373524.710859628,252183.520791655,121341.190067973,193346.8964661,46746.325548907,146600.570917193,112251.414341385,95428.947417879,129979.941170512,1263185.00972012,623559.144972329,138461.3918133,306438.540415332,8028.85,7953.44,12747.13,165996.512519155,276463.043741104
