,Quarter,Banks,1. Gross Advances_Domestic Operation,1. Gross Advances_Global Operation,1. Gross Advances_Overseas Operation,8. Gross NPAs NPAs at the end of the Period  (a+b+c) _Domestic Operation,8. Gross NPAs NPAs at the end of the Period  (a+b+c) _Global Operation,8. Gross NPAs NPAs at the end of the Period  (a+b+c) _Overseas Operation,a. Sub-standard advances_Domestic Operation,a. Sub-standard advances_Global Operation,a. Sub-standard advances_Overseas Operation,b.  Doubtful advances_Domestic Operation,b.  Doubtful advances_Global Operation,b.  Doubtful advances_Overseas Operation,c.  Loss advances_Domestic Operation,c.  Loss advances_Global Operation,c.  Loss advances_Overseas Operation,9. Gross NPAs to Gross Advances (%)_Domestic Operation,9. Gross NPAs to Gross Advances (%)_Global Operation,9. Gross NPAs to Gross Advances (%)_Overseas Operation,12. Provisions for NPAs at end of the FY_Domestic Operation,12. Provisions for NPAs at end of the FY_Global Operation,12. Provisions for NPAs at end of the FY_Overseas Operation,13. Provision Coverage Ratio (Write-Off Adj) (%)_Domestic Operation,13. Provision Coverage Ratio (Write-Off Adj) (%)_Global Operation,13. Provision Coverage Ratio (Write-Off Adj) (%)_Overseas Operation,14. Net Advances_Domestic Operation,14. Net Advances_Global Operation,14. Net Advances_Overseas Operation,15. Net NPAs_Domestic Operation,15. Net NPAs_Global Operation,15. Net NPAs_Overseas Operation,16. Net NPAs to Net Advances (%)_Domestic Operation,16. Net NPAs to Net Advances (%)_Global Operation,16. Net NPAs to Net Advances (%)_Overseas Operation,17. Restructured Standard Advances_Domestic Operation,17. Restructured Standard Advances_Global Operation,17. Restructured Standard Advances_Overseas Operation,18. Restructured Std Adv to Gross Advances (%)_Domestic Operation,18. Restructured Std Adv to Gross Advances (%)_Global Operation,18. Restructured Std Adv to Gross Advances (%)_Overseas Operation,19. Stressed Advances (GNPAs+RestStdAdv)_Domestic Operation,19. Stressed Advances (GNPAs+RestStdAdv)_Global Operation,19. Stressed Advances (GNPAs+RestStdAdv)_Overseas Operation,20. Stressed Advances (GNPAs+RestStdAdv) to Gross Advances (%)_Domestic Operation,20. Stressed Advances (GNPAs+RestStdAdv) to Gross Advances (%)_Global Operation,20. Stressed Advances (GNPAs+RestStdAdv) to Gross Advances (%)_Overseas Operation,21. Loans sold to ARCs (April to date)_Domestic Operation,21. Loans sold to ARCs (April to date)_Global Operation,21. Loans sold to ARCs (April to date)_Overseas Operation,22. Loss or gain on loan sales (April to date)_Domestic Operation,22. Loss or gain on loan sales (April to date)_Global Operation,22. Loss or gain on loan sales (April to date)_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
14,2012Q2,CREDIT SUISSE AG,2500000000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,2500000000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
15,2012Q2,"CTBC BANK CO., LTD.",3009855000,,,150000000,,,150000000,,,0,,,0,,,4.983629,,,,,,47.595333,,,2938462000,,,78607000,,,2.675107,,,,,,,,,150000000,,,4.983629,,,,,,,,,1,0,0,0
16,2012Q2,DBS BANK INDIA LTD.,134334234000,,,3309230000,,,2336568000,,,972662000,,,0,,,2.46343,,,,,,54.452607,,,132532272000,,,1507268000,,,1.137284,,,0,,,0,,,3309230000,,,2.46343,,,,,,,,,1,0,0,0
17,2012Q2,DEUTSCHE BANK AG,189568054000,,,1305961000,,,47215000,,,884754000,,,373992000,,,0.688914,,,,,,93.642995,,,188345113000,,,83021000,,,0.044079,,,0,,,0,,,1305961000,,,0.688914,,,,,,,,,1,0,0,0
18,2012Q2,FIRSTRAND BANK LTD,1965707000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1965707000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
19,2012Q2,HONGKONG AND SHANGHAI BANKING CORPN.LTD.,363592700000,,,6950000000,,,2567400000,,,3911400000,,,471200000,,,1.91148,,,,,,72.107914,,,358581200000,,,1938600000,,,0.540631,,,165300000,,,0.045463,,,7115300000,,,1.956942,,,,,,,,,1,0,0,0
20,2012Q2,HSBC BANK OMAN S.A.O.G.,54800000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,54800000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
21,2012Q2,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,882064000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,878536000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
22,2012Q2,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,54199091000,,,268900000,,,0,,,268900000,,,0,,,0.496134,,,,,,100,,,53930191000,,,0,,,0,,,0,,,0,,,268900000,,,0.496134,,,,,,,,,1,0,0,0
23,2012Q2,KBC BANK NV,9542400000,,,996300000,,,0,,,996300000,,,0,,,10.44077,,,,,,90.444645,,,8641300000,,,95200000,,,1.101686,,,0,,,0,,,996300000,,,10.44077,,,,,,,,,1,0,0,0
24,2012Q2,KRUNG THAI BANK PUBLIC COMPANY LIMITED,111824000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,111824000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
25,2012Q2,MASHREQ BANK PSC,847466000,,,6000,,,0,,,0,,,6000,,,0.000708,,,,,,100,,,847460000,,,0,,,0,,,0,,,0,,,6000,,,0.000708,,,,,,,,,1,0,0,0
26,2012Q2,MIZUHO BANK LTD,37848224000,,,63400000,,,0,,,0,,,63400000,,,0.167511,,,,,,100,,,37784824000,,,0,,,0,,,0,,,0,,,63400000,,,0.167511,,,,,,,,,1,0,0,0
27,2012Q2,MUFG Bank Ltd,68573087000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,68573087000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
28,2012Q2,NATIONAL AUSTRALIA BANK,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,1,0,0,0
29,2012Q2,NatWest Markets Plc,129698410000,,,3270958000,,,684629000,,,2585967000,,,362000,,,2.521972,,,,,,73.883951,,,127281697000,,,854245000,,,0.671145,,,0,,,0,,,3270958000,,,2.521972,,,,,,,,,1,0,0,0
30,2012Q2,SBERBANK,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,1,0,0,0
31,2012Q2,SBM BANK (INDIA) LTD.,7502886000,,,376952000,,,199027000,,,177925000,,,0,,,5.024093,,,,,,49.230937,,,7317309000,,,195875000,,,2.676872,,,36410000,,,0.48528,,,413362000,,,5.509373,,,,,,,,,1,0,0,0
32,2012Q2,SHINHAN BANK,8500655000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,8500655000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
33,2012Q2,SOCIETE GENERALE,13652514000,,,7400000,,,0,,,0,,,7400000,,,0.054202,,,,,,100,,,13645114000,,,0,,,0,,,0,,,0,,,7400000,,,0.054202,,,,,,,,,1,0,0,0
34,2012Q2,SONALI BANK,216323000,,,7907000,,,0,,,0,,,7907000,,,3.655182,,,,,,77.753889,,,210175000,,,0,,,0,,,0,,,0,,,7907000,,,3.655182,,,,,,,,,1,0,0,0
35,2012Q2,STANDARD CHARTERED BANK,608315400000,,,34557000000,,,10669800000,,,6509800000,,,17377400000,,,5.68077,,,,,,86.335909,,,578480300000,,,4728600000,,,0.817418,,,124000000,,,0.020384,,,34681000000,,,5.701154,,,,,,,,,1,0,0,0
36,2012Q2,UBS AG,6499500000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,6499500000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
37,2012Q2,UNITED OVERSEAS BANK LTD,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,1,0,0,0
38,2012Q2,WOORI BANK,200000000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,200000000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
39,2012Q2,AXIS BANK LIMITED,1433299100000,,,20059600000,,,6879700000,,,3825400000,,,9354500000,,,1.39954,,,,,,81.655666,,,1416919300000,,,5878400000,,,0.414872,,,34388000000,,,2.39922,,,54447600000,,,3.79876,,,,,,,,,0,1,0,0
40,2012Q2,CITY UNION BANK LIMITED,127739100000,,,1355300000,,,884900000,,,429800000,,,40600000,,,1.060991,,,,,,64.487567,,,126865100000,,,659700000,,,0.520001,,,2835200000,,,2.219524,,,4190500000,,,3.280515,,,,,,,,,0,1,0,0
41,2012Q2,CSB BANK LIMITED,78591000000,,,1741700000,,,344400000,,,1317400000,,,79900000,,,2.216157,,,,,,67.658035,,,77412600000,,,725200000,,,0.936798,,,3911200000,,,4.976651,,,5652900000,,,7.192808,,,,,,,,,0,1,0,0
42,2012Q2,DCB BANK LIMITED,56452700000,,,2361700000,,,422500000,,,939700000,,,999500000,,,4.183502,,,,,,83.063048,,,54491000000,,,409200000,,,0.75095,,,95100000,,,0.16846,,,2456800000,,,4.351962,,,,,,,,,0,1,0,0
43,2012Q2,FEDERAL BANK LTD,391637600000,,,13650000000,,,5415200000,,,5691100000,,,2543700000,,,3.485365,,,,,,81.230037,,,380549700000,,,2616200000,,,0.687479,,,17226000000,,,4.398454,,,30876000000,,,7.883819,,,,,,,,,0,1,0,0
44,2012Q2,HDFC BANK LTD.,2061310377000,,,18318600000,,,8734400000,,,4980300000,,,4603900000,,,0.888687,,,,,,79.852833,,,2046682456000,,,3690679000,,,0.180325,,,1204218000,,,0.05842,,,19522818000,,,0.947107,,,,,,,,,0,1,0,0
45,2012Q2,ICICI BANK LIMITED,2018029601000,,,95442459000,,,13275896000,,,74658527000,,,7508036000,,,4.729488,,,,,,81.363636,,,1940374146000,,,17868544000,,,0.920881,,,32907022000,,,1.630651,,,128349481000,,,6.360139,,,,,,,,,0,1,0,0
46,2012Q2,IDBI BANK LIMITED,1632572389000,,,54955349000,,,28209753000,,,25405792000,,,1339804000,,,3.366181,,,,,,36.716501,,,1612394708000,,,34777668000,,,2.156895,,,,,,,,,54955349000,,,3.366181,,,,,,,,,0,1,1,0
47,2012Q2,INDUSIND BANK LTD,375097200000,,,3651100000,,,1790300000,,,1811400000,,,49400000,,,0.973374,,,,,,72.643861,,,372444900000,,,1271300000,,,0.341339,,,1019000000,,,0.271663,,,4670100000,,,1.245037,,,,,,,,,0,1,0,0
48,2012Q2,ING VYSYA BANK LTD,293882030000,,,1752369000,,,578798000,,,1173571000,,,0,,,0.596283,,,,,,67.731226,,,292695129000,,,563869000,,,0.192647,,,3784525000,,,1.28777,,,5536894000,,,1.884053,,,,,,,,,0,1,0,0
49,2012Q2,JAMMU & KASHMIR BANK LTD,337150100000,,,5156700000,,,1263500000,,,2967300000,,,925900000,,,1.529497,,,,,,95.287684,,,332236400000,,,772000000,,,0.232365,,,12116100000,,,3.593681,,,17272800000,,,5.123178,,,,,,,,,0,1,0,0
50,2012Q2,KARNATAKA BANK LTD,219518738000,,,7272865000,,,3572895000,,,2939113000,,,760857000,,,3.313095,,,,,,39.980902,,,216610981000,,,4297576000,,,1.984007,,,20300448000,,,9.247706,,,27573313000,,,12.560802,,,,,,,,,0,1,0,0
51,2012Q2,KARUR VYSYA BANK LTD,246194547000,,,3769024000,,,1368037000,,,1325732000,,,1075255000,,,1.530913,,,,,,75.513475,,,243348426000,,,922903000,,,0.379252,,,6481595000,,,2.632713,,,10250619000,,,4.163626,,,,,,,,,0,1,0,0
52,2012Q2,KOTAK MAHINDRA BANK LTD.,426582093000,,,6846815000,,,4011450000,,,2804636000,,,30729000,,,1.60504,,,,,,50.731866,,,423108576000,,,3402495000,,,0.804166,,,119495000,,,0.028012,,,6966310000,,,1.633053,,,,,,,,,0,1,0,0
53,2012Q2,LAKSHMI VILAS BANK LTD,105042829000,,,3697672000,,,2601130000,,,950565000,,,145977000,,,3.520157,,,,,,45.305776,,,103367570000,,,2678698000,,,2.59143,,,2752749000,,,2.620597,,,6450421000,,,6.140753,,,,,,,,,0,1,0,0
54,2012Q2,NAINITAL BANK LTD,19695732000,,,546249000,,,389650000,,,125666000,,,30933000,,,2.773438,,,,,,86.649312,,,19222411000,,,78949000,,,0.410713,,,322650000,,,1.638172,,,868899000,,,4.411611,,,,,,,,,0,1,0,0
55,2012Q2,RBL BANK LIMITED,41833919000,,,335626000,,,169647000,,,111163000,,,54816000,,,0.802282,,,,,,74.766258,,,41582984000,,,84691000,,,0.203667,,,262928000,,,0.628504,,,598554000,,,1.430786,,,,,,,,,0,1,0,0
56,2012Q2,SOUTH INDIAN BANK LTD,271793789000,,,2946871000,,,1205738000,,,521321000,,,1219812000,,,1.08423,,,,,,67.712329,,,269798394000,,,951488000,,,0.352666,,,11685795000,,,4.299508,,,14632666000,,,5.383738,,,,,,,,,0,1,0,0
57,2012Q2,TAMILNAD MERCANTILE BANK LTD,145533764000,,,1988118000,,,996429000,,,749808000,,,241881000,,,1.366087,,,,,,61.046377,,,144320090000,,,1017084000,,,0.704742,,,7274679000,,,4.998619,,,9262797000,,,6.364707,,,,,,,,,0,1,0,0
58,2012Q2,THE DHANALAKSHMI BANK LTD,79249200000,,,1027497000,,,533090000,,,347784000,,,146623000,,,1.296539,,,,,,45.450254,,,78782200000,,,598197000,,,0.759305,,,835002000,,,1.053641,,,1862499000,,,2.35018,,,,,,,,,0,1,0,0
59,2012Q2,YES BANK LTD.,386197100000,,,1094900000,,,795000000,,,204000000,,,95900000,,,0.283508,,,,,,78.335921,,,385339400000,,,237200000,,,0.061556,,,1976500000,,,0.511785,,,3071400000,,,0.795293,,,,,,,,,0,1,0,0
60,2012Q2,ALLAHABAD BANK,1049927318000,,,21593637000,,,13444838000,,,6904406000,,,1244393000,,,2.056679,,,,,,54.501907,,,1038158374000,,,11910259000,,,1.147249,,,104744000000,,,9.97631,,,126337637000,,,12.032989,,,,,,,,,0,0,1,0
61,2012Q2,ANDHRA BANK,866117300000,,,23583400000,,,15272400000,,,7295300000,,,1015700000,,,2.722888,,,,,,45.174572,,,855463600000,,,12929700000,,,1.511426,,,62490200000,,,7.214981,,,86073600000,,,9.937869,,,,,,,,,0,0,1,0
62,2012Q2,BANK OF BARODA,1997286593000,,,46962247000,,,28815128000,,,13389023000,,,4758096000,,,2.351302,,,,,,79.690265,,,1959862254000,,,14671096000,,,0.748578,,,154599700000,,,7.740487,,,201561947000,,,10.091789,,,,,,,,,0,0,1,0
63,2012Q2,BANK OF INDIA,1833926000000,,,57693700000,,,43633300000,,,13080500000,,,979900000,,,3.145912,,,,,,38.367621,,,1811790300000,,,40345400000,,,2.226825,,,152459700000,,,8.313296,,,210153400000,,,11.459208,,,,,,,,,0,0,1,0
64,2012Q2,BANK OF MAHARASHTRA,578047804000,,,12944537000,,,7218013000,,,4753371000,,,973153000,,,2.239354,,,,,,72.021966,,,568724894000,,,5492945000,,,0.965835,,,38034400000,,,6.579802,,,50978937000,,,8.819156,,,,,,,,,0,0,1,0
65,2012Q2,CANARA BANK,2137879600000,,,43468600000,,,30211500000,,,13257100000,,,0,,,2.033258,,,,,,26.844665,,,2126210600000,,,37314900000,,,1.754995,,,130349600000,,,6.097144,,,173818200000,,,8.130402,,,,,,,,,0,0,1,0
66,2012Q2,CENTRAL BANK OF INDIA,1542443900000,,,75097300000,,,52199500000,,,22139100000,,,758700000,,,4.868722,,,,,,43.847116,,,1509515900000,,,48534800000,,,3.215256,,,178256000000,,,11.556725,,,253353300000,,,16.425447,,,,,,,,,0,0,1,0
67,2012Q2,CORPORATION BANK,989996945000,,,16894192000,,,11179221000,,,4805203000,,,909768000,,,1.706489,,,,,,26.874484,,,985456718000,,,12353966000,,,1.253628,,,72848200000,,,7.358427,,,89742392000,,,9.064916,,,,,,,,,0,0,1,0
68,2012Q2,DENA BANK,15100000,,,10761298000,,,4326974000,,,5332251000,,,1102073000,,,71266.874172,,,,,,52.808499,,,-25100000,,,5970463000,,,-23786.705179,,,42559151000,,,281848.682119,,,53320449000,,,353115.556291,,,,,,,,,0,0,1,0
69,2012Q2,IDBI BANK LIMITED,1632572389000,,,54955349000,,,28209753000,,,25405792000,,,1339804000,,,3.366181,,,,,,36.716501,,,1612394708000,,,34777668000,,,2.156895,,,,,,,,,54955349000,,,3.366181,,,,,,,,,0,1,1,0
70,2012Q2,INDIAN BANK,883883000000,,,13575000000,,,8669100000,,,4764700000,,,141200000,,,1.535837,,,,,,57.177901,,,876121100000,,,8217400000,,,0.93793,,,95237600000,,,10.77491,,,108812600000,,,12.310747,,,,,,,,,0,0,1,0
71,2012Q2,INDIAN OVERSEAS BANK,1297875874000,,,40078450000,,,16613572000,,,23396315000,,,68563000,,,3.088003,,,,,,65.244023,,,1271727081000,,,16418827000,,,1.291065,,,119898393000,,,9.238048,,,159976843000,,,12.326051,,,,,,,,,0,0,1,0
72,2012Q2,ORIENTAL BANK OF COMMERCE,1140782900000,,,34993500000,,,24616900000,,,10340400000,,,36200000,,,3.067499,,,,,,31.17579,,,1129873400000,,,24423100000,,,2.161578,,,118581300000,,,10.39473,,,153574800000,,,13.462228,,,,,,,,,0,0,1,0
73,2012Q2,PUNJAB AND SIND BANK,475823377000,,,8233973000,,,5195280000,,,2997341000,,,41352000,,,1.730468,,,,,,29.145906,,,473423511000,,,5834107000,,,1.232323,,,49986544000,,,10.505273,,,58220517000,,,12.235741,,,,,,,,,0,0,1,0
74,2012Q2,PUNJAB NATIONAL BANK,2735017278000,,,91180898000,,,56423484000,,,30080846000,,,4676568000,,,3.333833,,,,,,54.890335,,,2684967778000,,,41131398000,,,1.531914,,,240484100000,,,8.792782,,,331664998000,,,12.126614,,,,,,,,,0,0,1,0
75,2012Q2,STATE BANK OF BIKANER AND JAIPUR,504846100000,,,18743600000,,,11446400000,,,6566900000,,,730300000,,,3.712735,,,,,,41.517105,,,497064300000,,,11497900000,,,2.313161,,,26897900000,,,5.327941,,,45641500000,,,9.040676,,,,,,,,,0,0,1,0
76,2012Q2,STATE BANK OF HYDERABAD,781828206000,,,22100181000,,,13550567000,,,6403811000,,,2145803000,,,2.826731,,,,,,66.897013,,,767043845000,,,9811722000,,,1.279161,,,34856328000,,,4.45831,,,56956509000,,,7.285041,,,,,,,,,0,0,1,0
77,2012Q2,STATE BANK OF INDIA,31260462400000,,,1755047200000,,,834318000000,,,802329600000,,,118399600000,,,22.457084,,,,,,228.326712,,,30258652000000,,,753236800000,,,9.957308,,,1057158000000,,,13.527092,,,2812205200000,,,35.98418,,,,,,,,,0,0,1,0
78,2012Q2,STATE BANK OF MYSORE,403560287000,,,18860371000,,,11261190000,,,6019742000,,,1579439000,,,4.673495,,,,,,55.329113,,,393125011000,,,9556271000,,,2.430848,,,26236700000,,,6.501309,,,45097071000,,,11.174804,,,,,,,,,0,0,1,0
79,2012Q2,STATE BANK OF PATIALA,641181300000,,,20737400000,,,9762200000,,,8918400000,,,2056800000,,,3.234249,,,,,,51.415799,,,630519000000,,,10075200000,,,1.597922,,,36483900000,,,5.690107,,,57221300000,,,8.924356,,,,,,,,,0,0,1,0
80,2012Q2,STATE BANK OF TRAVANCORE,570486557000,,,16239345000,,,11005110000,,,4535369000,,,698866000,,,2.846578,,,,,,48.993472,,,562530338000,,,8982899000,,,1.596874,,,14568713000,,,2.553735,,,30808058000,,,5.400313,,,,,,,,,0,0,1,0
81,2012Q2,SYNDICATE BANK,1124890100000,,,30996100000,,,20038400000,,,8368000000,,,2589700000,,,2.755478,,,,,,57.856634,,,1106956800000,,,13062800000,,,1.180064,,,77862900000,,,6.921823,,,108859000000,,,9.677301,,,,,,,,,0,0,1,0
82,2012Q2,UCO BANK,1072229600000,,,45069000000,,,20338800000,,,23007500000,,,1722700000,,,4.203298,,,,,,46.959995,,,1051065200000,,,25758600000,,,2.450714,,,93585000000,,,8.728075,,,138654000000,,,12.931372,,,,,,,,,0,0,1,0
83,2012Q2,UNION BANK OF INDIA,1632285900000,,,64706000000,,,38144000000,,,26097000000,,,465000000,,,3.964134,,,,,,54.8266,,,1596809800000,,,37144400000,,,2.326163,,,81992200000,,,5.023152,,,146698200000,,,8.987286,,,,,,,,,0,0,1,0
84,2012Q2,UNITED BANK OF INDIA,636245500000,,,22101900000,,,10860400000,,,10831300000,,,410200000,,,3.473801,,,,,,47.555188,,,625734900000,,,11591300000,,,1.85243,,,31725700000,,,4.986393,,,53827600000,,,8.460193,,,,,,,,,0,0,1,0
85,2012Q2,VIJAYA BANK,593059284000,,,16928666000,,,9496178000,,,6625576000,,,806912000,,,2.854464,,,,,,46.237737,,,585231852000,,,9832338000,,,1.680076,,,30657275000,,,5.169344,,,47585941000,,,8.023808,,,,,,,,,0,0,1,0
86,2012Q3,AB BANK LIMITED,408700000,,,0,,,0,,,0,,,0,,,0,,,,,,,,,395400000,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,0,0,0
87,2012Q3,ABU DHABI COMMERCIAL BANK PJSC,3070881000,,,22198000,,,0,,,22198000,,,0,,,0.722854,,,,,,100,,,3048683000,,,0,,,0,,,7953000,,,0.258981,,,30151000,,,0.981836,,,,,,,,,1,0,0,0
88,2012Q3,AMERICAN EXPRESS BANKING CORP.,16170814000,,,291421000,,,291421000,,,0,,,0,,,1.802142,,,,,,24.999914,,,16097959000,,,218566000,,,1.357725,,,0,,,0,,,291421000,,,1.802142,,,,,,,,,1,0,0,0
